,date,deaths,swabs,ICU,hospitalized,new_infections,cumulative_infections,recovered,quarantined
0,2020-02-24,7,4324,26,101,221,229,1,94
1,2020-02-25,10,8623,35,114,93,322,1,162
2,2020-02-26,12,9587,36,128,78,400,3,221
3,2020-02-27,17,12014,56,248,250,650,45,284
4,2020-02-28,21,15695,64,345,238,888,46,412
5,2020-02-29,29,18661,105,401,240,1128,50,543
6,2020-03-01,34,21127,140,639,566,1694,83,798
7,2020-03-02,52,23345,166,742,342,2036,149,927
8,2020-03-03,79,25856,229,1034,466,2502,160,1000
9,2020-03-04,107,29837,295,1346,587,3089,276,1065
10,2020-03-05,148,32362,351,1790,769,3858,414,1155
11,2020-03-06,197,36359,462,2394,778,4636,523,1060
12,2020-03-07,233,42062,567,2651,1247,5883,589,1843
13,2020-03-08,366,49937,650,3557,1492,7375,622,2180
14,2020-03-09,463,53826,733,4316,1797,9172,724,2936
15,2020-03-10,631,60761,877,5038,977,10149,1004,2599
16,2020-03-11,827,73154,1028,5838,2313,12462,1045,3724
17,2020-03-12,1016,86011,1153,6650,2651,15113,1258,5036
18,2020-03-13,1266,97488,1328,7426,2547,17660,1439,6201
19,2020-03-14,1441,109170,1518,8372,3497,21157,1966,7860
20,2020-03-15,1809,124899,1672,9663,3590,24747,2335,9268
21,2020-03-16,2158,137962,1851,11025,3233,27980,2749,10197
22,2020-03-17,2503,148657,2060,12894,3526,31506,2941,11108
23,2020-03-18,2978,165541,2257,14363,4207,35713,4025,12090
24,2020-03-19,3405,182777,2498,15757,5322,41035,4440,14935
25,2020-03-20,4032,206886,2655,16020,5986,47021,5129,19185
26,2020-03-21,4825,233222,2857,17708,6557,53578,6072,22116
27,2020-03-22,5476,258402,3009,19846,5560,59138,7024,23783
28,2020-03-23,6077,275468,3204,20692,4789,63927,7432,26522
29,2020-03-24,6820,296964,3396,21937,5249,69176,8326,28697
30,2020-03-25,7503,324445,3489,23112,5210,74386,9362,30920
31,2020-03-26,8165,361060,3612,24753,6153,80539,10361,33648
32,2020-03-27,9134,394079,3732,26029,5959,86498,10950,36653
33,2020-03-28,10023,429526,3856,26676,5974,92472,12384,39533
34,2020-03-29,10779,454030,3906,27386,5217,97689,13030,42588
35,2020-03-30,11591,477359,3981,27795,4050,101739,14620,43752
36,2020-03-31,12428,506968,4023,28192,4053,105792,15729,45420
37,2020-04-01,13155,541423,4035,28403,4782,110574,16847,48134
38,2020-04-02,13915,581232,4053,28540,4668,115242,18278,50456
39,2020-04-03,14681,619849,4068,28741,4585,119827,19758,52579
40,2020-04-04,15362,657224,3994,29010,4805,124632,20996,55270
41,2020-04-05,15887,691461,3977,28949,4316,128948,21815,58320
42,2020-04-06,16523,721732,3898,28976,3599,132547,22837,60313
43,2020-04-07,17127,755445,3792,28718,3039,135586,24392,61557
44,2020-04-08,17669,807125,3693,28485,3836,139422,26491,63084
45,2020-04-09,18279,853369,3605,28399,4204,143626,28470,64873
46,2020-04-10,18849,906864,3497,28242,3951,147577,30455,66534
47,2020-04-11,19468,963473,3381,28144,4694,152271,32534,68744
48,2020-04-12,19899,1010193,3343,27847,4092,156363,34211,71063
49,2020-04-13,20465,1046910,3260,28023,3153,159516,35435,72333
50,2020-04-14,21067,1073689,3186,28011,2972,162488,37130,73094
51,2020-04-15,21645,1117404,3079,27643,2667,165155,38092,74696
52,2020-04-16,22170,1178403,2936,26893,3786,168941,40164,76778
53,2020-04-17,22745,1244108,2812,25786,3493,172434,42727,78364
54,2020-04-18,23227,1305833,2733,25007,3491,175925,44927,80031
55,2020-04-19,23660,1356541,2635,25033,3047,178972,47055,80589
56,2020-04-20,24114,1398024,2573,24906,2256,181228,48877,80758
57,2020-04-21,24648,1450150,2471,24134,2729,183957,51600,81104
